precinct,county,patrol_borough,latitude,longitude,anti_jewish_incidents_2019_2026,felonies,misdemeanors,with_arrest,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,n_2026_ytd,top_offense
22,NEW YORK,PATROL BORO MAN NORTH,40.782473,-73.965558,12,7,5,3,1,0,3,1,2,3,2,0,AGGRAVATED HARASSMENT 1
73,KINGS,PATROL BORO BKLYN NORTH,40.668159,-73.910946,11,8,3,2,4,2,0,2,1,1,1,0,AGGRAVATED HARASSMENT 1
45,BRONX,PATROL BORO BRONX SOUTH,40.848871,-73.819207,10,8,2,3,1,2,0,3,1,0,3,0,AGGRAVATED HARASSMENT 1
105,QUEENS,PATROL BORO QUEENS SOUTH,40.724532,-73.72975,10,9,1,1,2,0,0,2,1,1,2,2,AGGRAVATED HARASSMENT 1
33,NEW YORK,PATROL BORO MAN NORTH,40.84104,-73.940442,9,7,2,1,4,0,0,1,2,0,0,2,AGGRAVATED HARASSMENT 1
9,NEW YORK,PATROL BORO MAN SOUTH,40.726266,-73.983388,9,4,5,3,2,0,0,3,0,3,1,0,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
100,QUEENS,PATROL BORO QUEENS SOUTH,40.571264,-73.866674,9,7,2,1,1,1,0,0,3,1,3,0,AGGRAVATED HARASSMENT 1
76,KINGS,PATROL BORO BKLYN SOUTH,40.679249,-74.003215,9,6,3,4,0,0,1,0,2,4,2,0,CRIMINAL MIS 2 & 3
52,BRONX,PATROL BORO BRONX NORTH,40.866347,-73.886338,8,5,3,2,1,0,1,0,3,1,1,1,AGGRAVATED HARASSMENT 1
123,RICHMOND,PATROL BORO STATEN ISLAND,40.536822,-74.205858,8,6,2,0,0,0,0,2,1,2,0,3,AGGRAVATED HARASSMENT 1
75,KINGS,PATROL BORO BKLYN NORTH,40.665783,-73.878407,7,6,1,1,3,1,0,0,2,1,0,0,AGGRAVATED HARASSMENT 1
81,KINGS,PATROL BORO BKLYN NORTH,40.685548,-73.929229,7,5,2,3,2,0,0,1,1,1,1,1,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)"
67,KINGS,PATROL BORO BKLYN SOUTH,40.648042,-73.933818,6,3,3,1,1,0,1,2,1,0,1,0,AGGRAVATED HARASSMENT 1
23,NEW YORK,PATROL BORO MAN NORTH,40.791191,-73.944535,6,3,3,1,0,0,2,0,2,1,1,0,AGGRAVATED HARASSMENT 1
28,NEW YORK,PATROL BORO MAN NORTH,40.804624,-73.951038,5,4,1,1,2,0,1,1,0,0,1,0,AGGRAVATED HARASSMENT 1
44,BRONX,PATROL BORO BRONX SOUTH,40.833806,-73.920795,5,2,3,0,1,3,0,0,1,0,0,0,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
103,QUEENS,PATROL BORO QUEENS SOUTH,40.703674,-73.786039,5,4,1,1,1,0,0,2,1,0,1,0,AGGRAVATED HARASSMENT 1
49,BRONX,PATROL BORO BRONX NORTH,40.856094,-73.853727,5,4,1,2,0,1,0,1,2,1,0,0,AGGRAVATED HARASSMENT 1
106,QUEENS,PATROL BORO QUEENS SOUTH,40.669214,-73.832706,5,2,3,2,0,0,0,0,4,0,0,1,ASSAULT 3
41,BRONX,PATROL BORO BRONX SOUTH,40.8136,-73.887666,4,2,2,0,3,0,0,0,1,0,0,0,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
32,NEW YORK,PATROL BORO MAN NORTH,40.819276,-73.940668,4,2,2,1,0,1,0,0,0,0,2,1,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
40,BRONX,PATROL BORO BRONX SOUTH,40.810909,-73.916469,4,4,0,2,0,0,0,2,0,0,0,2,AGGRAVATED HARASSMENT 1
46,BRONX,PATROL BORO BRONX NORTH,40.852746,-73.909576,3,3,0,1,1,0,0,1,1,0,0,0,AGGRAVATED HARASSMENT 1
43,BRONX,PATROL BORO BRONX SOUTH,40.824746,-73.861524,3,2,1,0,0,0,1,0,0,0,1,1,AGGRAVATED HARASSMENT 1
47,BRONX,PATROL BORO BRONX NORTH,40.886948,-73.852591,3,3,0,2,0,0,3,0,0,0,0,0,AGGRAVATED HARASSMENT 1
113,QUEENS,PATROL BORO QUEENS SOUTH,40.661025,-73.782099,3,2,1,1,0,0,0,0,0,1,0,2,AGGRAVATED HARASSMENT 1
30,NEW YORK,PATROL BORO MAN NORTH,40.826083,-73.949558,2,1,1,0,0,0,2,0,0,0,0,0,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
69,KINGS,PATROL BORO BKLYN SOUTH,40.638848,-73.899572,2,1,1,1,0,0,0,0,0,1,0,1,AGGRAVATED HARASSMENT 2
42,BRONX,PATROL BORO BRONX SOUTH,40.832556,-73.89865,2,2,0,0,0,0,0,0,0,2,0,0,AGGRAVATED HARASSMENT 1
